,id1,id2,label
0,9557,26409,0
1,9200,26262,0
2,9160,27271,0
3,26188,8381,0
4,8368,26346,0
5,34885,9912,0
6,8231,12898,0
7,12577,16603,0
8,38843,29565,0
9,49621,38914,0
10,45332,45488,1
11,38668,3666,0
12,39568,38868,0
13,16695,16547,1
14,28506,16523,0
15,45244,49688,0
16,27097,3988,0
17,3968,38733,0
18,39889,45486,0
19,9597,8254,0
20,45389,27197,0
21,12842,26455,0
22,49510,45434,0
23,45362,38970,0
24,9881,16825,0
25,27025,49991,0
26,9684,38719,0
27,26430,39800,0
28,16939,28505,0
29,3813,38707,0
30,26290,49844,0
31,34910,3672,0
32,9093,8452,0
33,28558,3538,0
34,9864,49669,0
35,34624,45143,0
36,28737,9504,0
37,9594,16848,0
38,16912,45488,0
39,9279,9242,1
40,34940,9763,0
41,49888,26202,0
42,27475,38930,0
43,38546,28971,0
44,16951,49546,0
45,45036,38676,0
46,28728,9524,0
47,8111,45498,0
48,9509,39955,0
49,3726,8034,0
50,29941,34957,0
51,8033,28853,0
52,28553,49924,0
53,49930,12848,0
54,45494,9647,0
55,38816,27417,0
56,34501,39802,0
57,8284,29787,0
58,29927,3608,0
59,3693,8283,0
60,38798,28543,0
61,49524,27106,0
62,28574,9157,0
63,34611,29985,0
64,45187,3834,0
65,12534,38713,0
66,9116,16546,0
67,29692,39723,0
68,29924,26471,0
69,3895,39972,0
70,34847,29763,0
71,28728,16956,0
72,29811,34723,0
73,9236,45227,0
74,38624,16940,0
75,34901,26281,0
76,9165,8312,0
77,27212,9388,0
78,45493,16978,0
79,12593,49547,0
80,29582,39889,0
81,16884,27142,0
82,27062,12710,0
83,12822,3887,0
84,34650,34733,1
85,38723,39502,0
86,29954,34568,0
87,27244,39527,0
88,29818,49624,0
89,12580,38965,0
90,12625,26358,0
91,28709,39643,0
92,9446,29673,0
93,12978,49647,0
94,16684,34849,0
95,29912,16700,0
96,39924,16898,0
97,34878,9765,0
98,16541,3831,0
99,38504,9113,0
100,49917,45426,0
101,34596,34834,1
102,38662,9692,0
103,3605,45398,0
104,27025,45331,0
105,34709,49972,0
106,39894,27433,0
107,3677,39796,0
108,12696,12978,1
109,27156,28666,0
110,39879,9298,0
111,34511,29667,0
112,45292,28584,0
113,3506,39510,0
114,27180,26083,0
115,8318,49628,0
116,39805,28676,0
117,9555,8063,0
118,3727,12800,0
119,9291,27035,0
120,49780,27331,0
121,16724,45458,0
122,39934,8448,0
123,27142,12575,0
124,3731,12908,0
125,12648,26450,0
126,45036,34658,0
127,38559,29560,0
128,28867,3561,0
129,16532,9244,0
130,39736,29883,0
131,28815,8478,0
132,3690,34826,0
133,9628,28691,0
134,12900,27181,0
135,9504,38787,0
136,26469,9489,0
137,45420,3550,0
138,27345,16788,0
139,12629,45180,0
140,29786,3593,0
141,9406,3670,0
142,45098,3874,0
143,27448,9321,0
144,28872,3608,0
145,49834,34989,0
146,28545,34511,0
147,9396,16897,0
148,34506,28800,0
149,8112,38911,0
150,9899,3545,0
151,12935,9419,0
152,8193,34887,0
153,16908,29897,0
154,16940,26471,0
155,28576,29845,0
156,26069,8317,0
157,38553,9221,0
158,39607,45007,0
159,26201,3897,0
160,3598,26390,0
161,29831,8177,0
162,39523,29971,0
163,49965,27252,0
164,45221,3942,0
165,49507,38715,0
166,39639,45486,0
167,38552,38625,1
168,9758,49615,0
169,12948,29866,0
170,45002,9115,0
171,3596,3970,1
172,12864,3787,0
173,27157,26204,0
174,9191,28953,0
175,38730,49545,0
176,3626,9606,0
177,9253,8452,0
178,27393,27499,1
179,39794,27296,0
180,39944,26183,0
181,49512,12571,0
182,8019,29956,0
183,38801,27097,0
184,9401,49529,0
185,39677,9413,0
186,38890,38808,1
187,3969,38962,0
188,3583,9697,0
189,12616,8420,0
190,3893,49708,0
191,29673,39966,0
192,12503,27497,0
193,45061,8011,0
194,38554,34596,0
195,9495,12746,0
196,26002,27193,0
197,45172,12910,0
198,9085,38895,0
199,38864,9117,0
200,8430,34886,0
201,28801,30000,0
202,12966,8273,0
203,38676,9917,0
204,26024,34744,0
205,16733,12806,0
206,29768,9026,0
207,9214,16535,0
208,8054,27345,0
209,9480,38743,0
210,45403,16850,0
211,28515,27312,0
212,28950,26062,0
213,12850,26443,0
214,3730,28586,0
215,9821,3879,0
216,27463,39552,0
217,16801,26218,0
218,29935,39717,0
219,28897,38864,0
220,49540,45421,0
221,38622,16639,0
222,8148,27274,0
223,45040,12871,0
224,26276,26109,1
225,28771,26035,0
226,16864,3778,0
227,16843,26202,0
