,id1,id2,label
0,77,69,False
1,78,69,False
2,79,69,False
3,80,69,True
4,81,69,False
5,82,69,True
6,83,69,False
7,84,69,False
8,85,69,False
9,86,69,False
10,87,69,False
11,88,69,False
12,89,69,False
13,90,69,False
14,91,69,False
15,92,69,False
16,93,69,False
17,94,69,False
18,95,69,False
19,96,69,False
20,97,69,False
21,98,69,False
22,99,69,False
23,100,69,False
24,101,69,False
25,102,69,False
26,103,69,False
27,104,69,False
28,105,69,False
29,106,69,False
30,107,69,False
31,108,69,False
32,109,69,False
33,110,69,False
34,111,69,False
35,112,69,False
36,113,69,False
37,114,69,False
38,115,69,False
39,116,69,False
40,117,69,False
41,118,69,False
42,119,69,False
43,120,69,False
44,121,69,False
45,122,69,False
46,123,69,False
47,124,69,False
48,125,69,False
49,126,69,False
50,127,69,False
51,128,69,False
52,129,69,False
53,130,69,False
54,131,69,False
55,132,69,False
56,133,69,False
57,134,69,False
58,135,69,False
59,136,69,True
60,137,69,True
61,138,69,False
62,139,69,False
63,140,69,False
64,141,69,False
65,142,69,False
66,143,69,False
67,144,69,False
68,145,69,False
69,146,69,False
70,147,69,False
71,148,69,False
72,149,69,True
73,150,69,False
74,151,69,True
75,152,69,False
76,153,69,False
77,154,69,False
78,155,69,False
79,156,69,False
80,157,69,False
81,158,69,False
82,159,69,False
83,160,69,False
84,161,69,False
85,162,69,False
86,163,69,False
87,164,69,True
88,165,69,False
89,166,69,False
90,167,69,False
91,168,69,False
92,169,69,False
93,170,69,False
94,171,69,False
95,172,69,True
96,173,69,False
97,174,69,False
98,175,69,False
99,176,69,False
100,177,69,False
101,178,69,False
102,179,69,False
103,180,69,False
104,181,69,False
105,182,69,False
106,183,69,False
107,184,69,True
108,185,69,False
109,186,69,False
110,187,69,False
111,188,69,False
112,189,69,False
113,190,69,True
114,191,69,False
115,192,69,False
116,193,69,False
117,194,69,False
118,195,69,False
119,196,69,False
120,197,69,False
121,198,69,False
122,199,69,False
123,200,69,False
124,201,69,False
125,202,69,False
126,203,69,False
127,204,69,False
128,205,69,False
129,206,69,False
130,207,69,False
131,208,69,False
132,209,69,False
133,210,69,False
134,211,69,False
135,212,69,False
136,213,69,False
137,214,69,True
138,215,69,True
139,216,69,False
140,217,69,True
141,218,69,True
142,219,69,True
143,220,69,False
144,221,69,False
145,222,69,False
146,223,69,False
147,224,69,True
148,225,69,False
149,226,69,True
150,227,69,False
151,228,69,False
152,229,69,False
153,230,69,False
154,231,69,True
155,232,69,False
156,233,69,False
157,234,69,False
158,235,69,False
159,236,69,False
160,237,69,True
161,238,69,False
162,239,69,False
163,240,69,False
164,241,69,False
165,242,69,False
166,243,69,False
167,244,69,False
168,245,69,False
169,246,69,False
170,247,69,True
171,248,69,False
172,249,69,False
173,250,69,False
174,251,69,False
175,252,69,False
176,253,69,False
177,254,69,False
178,255,69,False
179,256,69,False
180,257,69,False
181,258,69,False
182,259,69,False
183,260,69,False
184,261,69,False
185,262,69,False
186,263,69,False
187,264,69,False
188,265,69,False
189,266,69,False
190,267,69,False
191,268,69,False
192,269,69,False
193,270,69,False
194,271,69,False
195,272,69,False
196,273,69,False
197,274,70,False
198,275,70,False
199,276,70,True
200,277,70,False
201,278,70,True
202,279,70,False
203,280,70,False
204,281,70,False
205,282,70,False
206,283,70,False
207,284,70,False
208,285,70,False
209,286,70,False
210,287,70,False
211,288,70,False
212,289,70,False
213,290,70,False
214,291,70,False
215,292,70,False
216,293,70,False
217,294,70,False
218,295,70,False
219,296,70,False
220,297,70,False
221,298,70,False
222,299,70,False
223,300,70,False
224,301,70,False
225,302,70,False
226,303,70,False
